year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
2002,7,6.8,22.0,309.0,14,27,62,71,16,110,4397,1911,1514,611,2512,762,4765,3786
1974,1,5.9,4065.0,90.0,0,13,61,21,16,60,3626,1211,3406,73,1057,762,1110,346
2005,1,6.7,166.0,83.0,4,27,62,71,16,110,2350,4771,318,456,2512,762,2245,1
1997,3,7.0,594.0,100.0,7,27,62,71,16,1,4260,3803,2006,611,469,762,3904,3786
1984,1,5.7,2175.0,147.0,1,13,35,71,32,110,2814,3241,3409,611,435,762,621,660
2004,1,5.1,470.0,91.0,13,27,37,71,33,110,775,3937,2232,611,2512,762,3404,3786
1998,3,4.5,1975.0,128.0,4,13,62,71,16,110,696,4048,3179,611,1724,762,3141,3786
2004,0,8.7,219.0,87.0,6,17,63,71,62,110,2880,1949,1348,611,483,762,1601,3786
1998,1,6.6,305.0,146.0,6,14,62,71,16,110,3967,1302,1968,611,2512,762,4765,3786
2001,0,7.9,16.0,90.0,6,14,63,71,62,110,4329,869,3923,611,2314,98,2842,3278
1996,1,7.7,1960.0,89.0,6,14,61,71,16,110,1832,1898,2656,611,2512,762,4765,3786
2004,7,5.3,12532.0,94.0,0,1,62,71,16,110,3179,4901,3422,611,1108,762,4161,352
1987,4,7.6,3221.0,417.0,4,27,61,71,16,110,1105,2455,3923,611,2512,762,3868,781
2004,1,6.9,1916.0,96.82821118991332,4,7,15,71,10,29,3654,1568,1642,611,63,762,1994,2763
1990,1,6.7,18.0,87.0,1,9,58,71,39,110,1808,4313,1495,611,2512,762,1789,3786
1993,4,6.8,10920.0,160.0,7,8,62,71,16,110,2016,2569,3923,611,2512,762,401,287
1997,1,6.7,194.0,43.0,4,7,34,71,25,29,4911,1616,2043,611,2623,762,173,108
1981,1,4.8,1038.0,117.0,0,5,55,69,22,95,59,205,1754,611,1167,762,2141,1257
1974,1,4.7,641.0,74.0,7,13,35,71,32,110,1504,2460,3511,611,453,762,4277,3187
1990,7,8.2,180.0,92.0,6,14,62,71,16,110,453,4336,1781,415,2512,762,4765,3786
1987,1,4.5,27.0,94.0,20,27,43,71,62,110,4581,3024,2504,611,2512,762,1995,3786
1998,1,6.5,3424.0,97.0,4,7,30,71,57,110,3699,52,3420,611,1,762,4158,3786
1999,1,6.3,434.0,110.0,0,7,36,71,16,110,3557,3575,589,611,2554,401,4532,494
1976,1,7.0,14259.0,28.0,7,13,10,18,16,41,2218,3619,2824,611,402,762,2735,2065
2002,1,6.2,1493.0,60.0,4,5,61,71,16,110,1649,614,2236,611,2330,762,2732,3786
