economy,YR2015,YR2016,YR2017,YR2018,YR2019
TZA,77.3,54.0,48.1,45.6,40.6
UGA,48.6,46.1,42.6,42.7,40.5
UKR,1.1,0.9,0.8,0.6,0.5
UMC,15.1862745098039,15.7686274509804,15.0235294117647,13.9882352941176,12.8764705882353
URY,21.7,22.5,22.5,22.6,24.1
USA,1.1,1.1,1.1,1.0,1.0
UZB,3.4,3.2,3.1,3.1,2.2
VCT,16.5,16.1,15.8,15.4,13.9
VEN,89.0,136.8,352.2,393.0,211.8
VGB,,,,,
VIR,,,,,
VNM,4.9,4.6,6.5,6.1,5.6
VUT,44.2,44.3,44.4,42.0,42.5
WLD,28.15,26.9826315789474,26.4457894736842,23.9994764397906,19.7753926701571
WSM,8.0,7.7,7.3,7.2,6.9
XKX,1.1,1.1,1.0,1.0,1.4
YEM,68.0,82.2,73.5,118.8,40.2
ZAF,0.3,0.2,0.2,0.2,0.2
ZMB,34.3,34.7,34.2,32.8,34.0
ZWE,118.4,121.5,110.0,110.7,76.6
